user_id,item_id,event_type,rating,day
161,85,purchase,,141
431,161,wishlist,,236
229,158,view,,55
90,39,trade,,71
457,92,purchase,,38
457,6,trade,5.0,302
109,283,view,,276
242,58,view,,114
457,149,view,,256
262,116,view,,339
123,85,trade,3.0,81
92,203,purchase,,247
481,126,trade,4.0,135
190,87,view,,184
199,179,wishlist,,20
333,192,trade,4.0,278
292,177,view,,300
335,40,view,,192
499,265,view,,176
250,4,view,,71
226,25,view,,143
109,88,view,,60
339,181,purchase,4.0,245
246,53,purchase,3.0,124
23,202,view,,322
263,250,view,,85
133,265,wishlist,,306
497,9,wishlist,,338
421,54,view,,310
242,88,view,,210
308,203,trade,3.0,337
262,215,purchase,,305
303,191,view,,55
9,277,wishlist,,350
215,50,view,,314
308,270,view,,60
48,78,wishlist,,276
424,209,view,,189
448,277,view,,246
405,180,purchase,,356
295,51,view,,119
466,146,purchase,2.0,131
97,24,purchase,3.0,3
193,207,trade,5.0,54
80,115,view,,274
217,285,view,,348
204,212,purchase,2.0,91
190,252,view,,157
296,229,purchase,,337
61,229,trade,,51
110,265,view,,281
315,33,view,,325
3,75,view,,307
223,67,view,,40
312,167,wishlist,,205
315,180,purchase,5.0,89
328,3,view,,336
477,147,view,,306
262,83,purchase,,184
123,49,view,,141
400,179,view,,102
266,282,view,,46
282,238,wishlist,,178
178,142,view,,99
233,295,view,,89
209,30,view,,174
485,243,wishlist,,275
417,129,purchase,,288
248,174,wishlist,,234
349,238,wishlist,,246
60,134,purchase,,346
360,167,view,,180
265,222,trade,5.0,47
205,172,view,,91
244,76,wishlist,,137
94,98,view,,102
121,136,view,,103
428,205,view,,54
62,253,purchase,,277
491,189,view,,161
253,295,wishlist,,251
94,262,view,,113
385,58,view,,216
245,17,view,,201
441,103,view,,61
358,128,purchase,4.0,107
195,167,view,,132
96,106,view,,313
176,295,view,,214
359,187,wishlist,,143
231,47,wishlist,,351
118,139,trade,3.0,195
101,49,view,,4
91,70,wishlist,,322
265,101,trade,5.0,287
440,254,view,,83
31,138,view,,322
50,184,view,,184
287,129,view,,210
63,259,wishlist,,101
296,279,view,,145
182,236,view,,228
456,228,view,,323
490,59,purchase,,215
324,219,trade,4.0,82
176,175,purchase,,309
331,210,trade,,300
267,212,view,,11
65,129,wishlist,,358
384,67,view,,48
33,243,view,,13
395,49,view,,316
80,186,view,,126
378,54,view,,87
15,205,wishlist,,166
443,259,view,,139
281,256,view,,302
306,221,purchase,4.0,268
328,85,wishlist,,246
277,18,view,,187
212,142,view,,267
418,70,view,,240
274,194,wishlist,,244
154,173,trade,5.0,3
281,162,wishlist,,223
203,298,view,,193
113,184,purchase,4.0,313
414,97,view,,272
415,88,wishlist,,93
70,261,purchase,5.0,318
252,10,view,,273
12,36,view,,64
367,4,view,,77
8,199,view,,255
191,29,view,,74
29,162,view,,240
93,279,view,,195
425,281,view,,226
127,18,view,,48
267,76,view,,348
493,55,view,,21
382,267,view,,246
327,186,wishlist,,341
112,121,purchase,4.0,85
407,51,view,,124
5,298,trade,3.0,305
80,51,view,,255
47,146,wishlist,,320
31,97,purchase,,64
250,216,trade,,224
376,217,view,,68
129,249,purchase,5.0,277
357,284,view,,178
166,141,wishlist,,306
469,83,view,,79
231,91,view,,232
1,260,view,,94
453,197,trade,4.0,32
338,199,view,,349
255,79,purchase,5.0,328
165,230,purchase,5.0,66
92,104,view,,98
51,191,purchase,4.0,359
303,155,view,,36
7,107,purchase,,40
240,32,view,,212
421,39,trade,5.0,20
376,169,view,,110
492,21,purchase,5.0,97
99,118,purchase,,285
384,26,trade,5.0,345
235,219,wishlist,,85
406,138,view,,336
81,207,view,,180
463,163,trade,3.0,324
221,166,purchase,3.0,109
193,131,view,,231
230,1,purchase,,305
9,279,view,,153
114,151,view,,353
422,260,view,,292
475,34,view,,182
80,178,wishlist,,127
120,120,view,,204
292,40,purchase,,88
250,296,trade,3.0,328
154,240,view,,28
472,179,wishlist,,222
214,62,wishlist,,116
383,286,wishlist,,324
399,16,view,,21
164,53,view,,357
114,214,wishlist,,304
295,84,view,,201
76,25,view,,25
281,19,view,,222
397,250,view,,286
102,76,purchase,,268
127,126,trade,4.0,294
46,165,view,,178
98,192,purchase,,86
180,237,purchase,5.0,119
103,96,trade,,57
379,203,wishlist,,147
8,38,view,,241
12,295,view,,104
280,126,view,,318
374,10,view,,339
270,56,view,,102
405,192,view,,335
484,245,purchase,,337
185,10,view,,332
198,204,view,,363
51,249,wishlist,,272
46,211,wishlist,,287
475,21,view,,271
157,253,purchase,4.0,350
181,227,view,,256
142,132,wishlist,,15
484,186,view,,174
460,51,view,,195
267,117,view,,293
79,117,wishlist,,168
230,104,purchase,3.0,350
410,79,view,,361
461,55,view,,74
336,81,view,,285
273,61,view,,74
373,125,wishlist,,211
493,90,purchase,,326
478,78,trade,4.0,94
14,137,purchase,,305
119,21,view,,352
400,225,trade,5.0,332
192,239,view,,70
84,31,view,,7
474,257,view,,343
104,34,view,,224
444,258,view,,234
455,175,trade,,194
369,215,wishlist,,292
305,29,view,,231
234,22,wishlist,,125
266,290,view,,198
265,26,view,,225
204,147,view,,216
151,25,purchase,,237
425,30,purchase,5.0,299
481,280,view,,211
166,81,view,,364
459,172,view,,165
355,38,purchase,5.0,58
362,149,view,,362
197,262,purchase,5.0,281
195,77,wishlist,,289
447,60,view,,74
92,27,view,,158
374,229,view,,92
61,104,view,,129
7,298,view,,2
312,122,view,,337
244,253,view,,307
4,107,view,,321
286,107,view,,75
29,16,view,,16
342,181,view,,44
26,79,view,,145
313,286,purchase,5.0,233
384,12,view,,153
166,160,trade,,281
34,52,view,,140
169,236,view,,107
314,229,purchase,,44
248,148,view,,162
133,176,wishlist,,314
289,294,view,,92
453,154,wishlist,,0
61,260,trade,,106
410,181,view,,170
180,114,view,,103
354,63,view,,259
282,3,view,,170
175,206,purchase,4.0,89
100,179,wishlist,,245
470,8,purchase,3.0,321
236,275,wishlist,,236
402,29,trade,5.0,347
162,9,view,,350
170,182,view,,76
144,174,wishlist,,320
274,293,purchase,3.0,59
443,158,purchase,4.0,16
140,294,wishlist,,190
232,155,view,,154
90,278,view,,103
468,226,view,,247
464,79,view,,247
376,159,trade,2.0,50
421,265,purchase,2.0,18
236,223,view,,159
478,25,view,,23
53,147,view,,159
328,165,view,,146
142,238,purchase,5.0,80
141,237,purchase,4.0,277
180,132,view,,360
412,110,view,,159
314,277,view,,66
15,33,view,,27
45,65,purchase,,322
429,168,purchase,5.0,101
366,274,view,,238
291,209,view,,158
351,216,view,,114
74,133,wishlist,,200
94,197,trade,,232
250,183,view,,245
237,145,trade,,65
261,74,view,,332
37,273,view,,302
212,106,view,,246
197,87,trade,4.0,222
291,279,purchase,3.0,342
40,294,trade,4.0,305
238,54,trade,4.0,207
36,266,trade,,194
168,24,view,,71
455,4,trade,,231
273,273,purchase,4.0,348
450,139,wishlist,,222
368,177,wishlist,,298
5,243,view,,65
437,134,wishlist,,27
1,184,view,,144
444,179,purchase,4.0,162
365,160,view,,108
340,110,view,,196
432,214,view,,343
65,40,purchase,4.0,249
337,63,view,,328
413,225,wishlist,,356
310,93,view,,217
283,197,view,,95
218,283,trade,4.0,256
138,271,purchase,4.0,19
291,163,view,,246
493,21,purchase,4.0,143
239,256,wishlist,,45
126,20,purchase,5.0,296
160,143,view,,5
241,287,purchase,3.0,180
492,151,view,,18
356,156,purchase,3.0,31
323,94,purchase,,149
415,14,view,,42
65,101,view,,315
144,94,view,,57
310,176,purchase,,189
414,278,purchase,4.0,270
442,46,wishlist,,304
479,254,trade,5.0,196
122,285,purchase,4.0,176
28,238,trade,5.0,237
205,230,purchase,,272
120,166,view,,74
272,7,view,,229
196,34,view,,272
327,257,purchase,,139
172,28,view,,299
201,289,purchase,,301
395,178,purchase,,160
281,13,trade,3.0,50
269,151,view,,145
129,27,purchase,4.0,304
337,112,wishlist,,326
63,62,view,,309
67,297,wishlist,,289
412,57,purchase,4.0,239
339,233,wishlist,,141
394,290,trade,4.0,82
400,21,view,,170
31,138,view,,35
252,103,purchase,4.0,251
56,257,view,,329
55,133,view,,37
37,124,trade,4.0,254
77,4,wishlist,,340
200,169,wishlist,,294
2,250,view,,206
433,36,view,,1
197,247,view,,274
479,171,purchase,5.0,323
491,161,view,,174
42,149,purchase,5.0,20
496,62,view,,199
459,253,view,,43
454,103,view,,98
13,123,view,,32
406,102,view,,230
495,19,view,,172
404,208,view,,334
342,291,view,,296
120,19,purchase,3.0,9
242,24,view,,332
67,252,view,,157
421,234,purchase,,32
419,59,view,,315
113,97,view,,347
206,215,purchase,4.0,109
392,65,view,,61
141,166,view,,189
284,128,wishlist,,20
69,283,purchase,5.0,80
9,42,view,,91
475,290,wishlist,,213
356,244,purchase,5.0,327
139,209,view,,89
313,286,view,,255
314,155,view,,2
286,76,wishlist,,48
317,244,view,,237
395,107,view,,99
58,243,view,,81
344,28,purchase,3.0,222
129,257,view,,26
474,100,trade,4.0,59
37,228,purchase,3.0,101
383,155,view,,56
167,82,purchase,,192
457,264,purchase,3.0,223
75,288,view,,198
192,120,purchase,,103
172,291,view,,69
