item_id,title,category,tags,rarity,price_usd,creator_user_id,listed_day
1,Movie Tv Meme #1,movie-tv,limited-edition|og|brain-expand|cat|wojak|stonks,common,13.1,195,291
2,Sports Meme #2,sports,surprised-pikachu|rare|ai-generated,epic,139.56,173,131
3,History Meme Meme #3,history-meme,og|ai-generated|surprised-pikachu|this-is-fine|chad,rare,37.2,181,86
4,Wojak Meme #4,wojak,surprised-pikachu|chad|rare|ai-generated|distracted-bf|galaxy-brain,common,19.74,434,38
5,Sports Meme #5,sports,template|drake,common,12.31,432,322
6,Animal Meme #6,animal,trending|wojak,common,5.13,259,233
7,Gaming Meme #7,gaming,hand-drawn|ai-generated,uncommon,5.46,316,247
8,Programmer Humor Meme #8,programmer-humor,drake|rare|brain-expand|galaxy-brain|og,common,3.48,147,8
9,Surreal Meme #9,surreal,custom-edit|1-of-1|chad|pepe|galaxy-brain,common,5.3,99,317
10,Surreal Meme #10,surreal,hd|gigachad|spongebob|custom-edit,common,3.63,192,207
11,Deep Fried Meme #11,deep-fried,among-us|trending|1-of-1|cat|vintage|doge,uncommon,9.11,440,332
12,History Meme Meme #12,history-meme,doge|npc,common,6.06,283,243
13,Classic Format Meme #13,classic-format,trending|chad,common,3.88,433,222
14,Programmer Humor Meme #14,programmer-humor,limited-edition|animated|pepe|static,uncommon,39.58,22,117
15,Animal Meme #15,animal,surprised-pikachu|spongebob|distracted-bf|doge|vintage|static,epic,24.72,289,336
16,Classic Format Meme #16,classic-format,1-of-1|animated|dog,common,10.73,107,300
17,Wojak Meme #17,wojak,1-of-1|doge|cat|chad|limited-edition,common,8.5,428,199
18,Programmer Humor Meme #18,programmer-humor,dog|npc|template|og|wojak|trending,uncommon,43.25,257,177
19,Classic Format Meme #19,classic-format,brain-expand|among-us,rare,13.4,175,309
20,History Meme Meme #20,history-meme,hand-drawn|npc|template|dog|drake|ai-generated,common,8.26,231,251
21,Animal Meme #21,animal,rare|npc|brain-expand|chad,uncommon,42.68,339,194
22,Reaction Meme #22,reaction,cat|custom-edit|among-us|trending|doge|static,common,17.38,195,364
23,History Meme Meme #23,history-meme,og|npc|dog,common,16.43,47,2
24,Political Satire Meme #24,political-satire,gigachad|template|spongebob|pepe|wojak,common,5.53,221,229
25,Surreal Meme #25,surreal,galaxy-brain|brain-expand|pepe|drake|doge|gigachad,uncommon,8.43,306,306
26,History Meme Meme #26,history-meme,animated|npc|drake|cat,common,13.54,399,43
27,Pet Meme Meme #27,pet-meme,static|among-us|limited-edition|galaxy-brain|chad|vintage,common,18.62,72,137
28,Political Satire Meme #28,political-satire,surprised-pikachu|wojak|doge|chad,common,11.36,216,153
29,Deep Fried Meme #29,deep-fried,gigachad|spongebob,epic,139.8,370,320
