user_id,archetype,favorite_categories,signup_day,trust_score
1,flipper,pet-meme,140,82.5
2,casual-collector,pet-meme|reaction,346,72.9
3,flipper,stonks-finance,216,84.7
4,casual-collector,animal,119,97.8
5,meme-creator,surreal,101,71.5
6,flipper,animal|deep-fried|stonks-finance|political-satire,3,71.5
7,lurker-buyer,pet-meme|anime,174,98.7
8,casual-collector,history-meme|gaming,52,86.5
9,casual-collector,gaming,176,68.0
10,flipper,pet-meme,235,83.1
11,meme-creator,reaction|surreal|political-satire|programmer-humor,316,68.0
12,lurker-buyer,stonks-finance|animal|pet-meme,35,68.0
13,casual-collector,history-meme|political-satire,40,78.6
14,lurker-buyer,anime,142,46.3
15,power-trader,wojak|gaming|sports,107,49.1
16,flipper,stonks-finance,325,66.6
17,casual-collector,wojak|deep-fried,194,59.8
18,casual-collector,programmer-humor|gaming,28,79.7
19,casual-collector,history-meme,161,61.4
20,power-trader,animal,290,53.8
21,lurker-buyer,animal|programmer-humor|deep-fried,202,97.0
22,lurker-buyer,wojak|political-satire|movie-tv|animal,287,71.6
23,meme-creator,movie-tv|stonks-finance|anime|gaming,112,76.0
24,lurker-buyer,surreal|deep-fried,46,53.6
25,lurker-buyer,wojak,321,66.8
26,casual-collector,stonks-finance|reaction|anime|history-meme,305,76.7
27,lurker-buyer,surreal|sports|classic-format,348,57.7
28,flipper,history-meme|programmer-humor|gaming,57,80.6
29,casual-collector,deep-fried|classic-format,134,66.0
30,lurker-buyer,surreal|reaction,320,70.6
31,casual-collector,wojak|gaming,82,66.0
32,meme-creator,stonks-finance,165,100.0
33,power-trader,movie-tv,185,74.8
34,lurker-buyer,animal|classic-format|movie-tv,290,59.1
35,lurker-buyer,pet-meme,248,87.3
36,lurker-buyer,wojak|programmer-humor,243,56.7
37,lurker-buyer,political-satire|surreal,310,78.1
38,power-trader,movie-tv|surreal,353,45.6
39,casual-collector,anime|programmer-humor|sports,191,55.1
40,power-trader,reaction|animal|sports|movie-tv,173,78.0
41,casual-collector,stonks-finance|animal,3,86.1
42,casual-collector,animal,34,77.6
43,lurker-buyer,reaction|surreal|animal,142,73.3
44,flipper,surreal|wojak,292,70.5
45,meme-creator,history-meme|deep-fried,208,52.8
46,casual-collector,programmer-humor,220,64.2
47,power-trader,deep-fried|sports|pet-meme|classic-format,344,68.1
48,flipper,classic-format,206,90.9
49,flipper,animal,98,80.2
50,casual-collector,wojak|anime|movie-tv|political-satire,236,48.6
51,casual-collector,deep-fried,281,79.9
52,casual-collector,reaction,121,69.2
53,casual-collector,deep-fried|animal|anime|classic-format,84,64.8
54,power-trader,political-satire|history-meme|sports|deep-fried,146,84.2
55,power-trader,wojak|animal|political-satire|sports,29,90.5
56,meme-creator,pet-meme,160,89.0
57,casual-collector,surreal|sports|movie-tv|wojak,29,62.4
58,lurker-buyer,sports,95,70.4
59,casual-collector,programmer-humor,120,80.0
60,power-trader,stonks-finance|movie-tv,20,89.6
61,flipper,programmer-humor|stonks-finance|sports|surreal,161,67.8
62,lurker-buyer,programmer-humor|pet-meme,160,72.2
63,casual-collector,wojak|programmer-humor|sports|political-satire,234,58.4
64,casual-collector,classic-format,234,57.1
65,flipper,reaction,275,87.2
66,casual-collector,wojak|gaming|reaction,125,95.3
67,power-trader,deep-fried|sports,278,73.9
68,flipper,programmer-humor,283,90.1
69,casual-collector,movie-tv,68,80.4
70,casual-collector,pet-meme,283,65.3
71,casual-collector,stonks-finance|animal|pet-meme,175,80.4
72,casual-collector,surreal|deep-fried|political-satire,26,98.1
73,casual-collector,sports|political-satire|classic-format|history-meme,170,74.5
74,lurker-buyer,wojak|pet-meme|deep-fried,282,98.5
75,flipper,reaction,38,35.7
76,lurker-buyer,surreal|classic-format,189,87.3
77,meme-creator,anime|wojak,21,76.3
78,casual-collector,movie-tv,183,70.5
79,casual-collector,programmer-humor|reaction,181,76.4
80,lurker-buyer,stonks-finance|pet-meme|wojak|animal,83,45.2
81,lurker-buyer,movie-tv|anime,12,71.7
82,casual-collector,history-meme|anime|movie-tv,342,80.4
83,lurker-buyer,political-satire|wojak,359,97.2
84,casual-collector,sports,240,67.2
85,casual-collector,gaming|political-satire|history-meme|animal,114,62.9
86,casual-collector,anime|gaming,142,67.5
87,lurker-buyer,gaming|programmer-humor|surreal,204,88.7
88,flipper,classic-format|reaction|political-satire,91,79.9
89,meme-creator,classic-format|reaction|stonks-finance,222,67.1
90,casual-collector,anime|stonks-finance|surreal,59,82.7
91,power-trader,political-satire|classic-format,362,76.5
92,power-trader,gaming|anime,35,89.5
